run_id,trike_id,origin_edge,dest_edge,distance,price,tick,driver_asp,passenger_asp
run002,trike46,E154,E28,1486.3799999999999,120.0,4957,2986.41,130.93
run002,trike61,E196,E3,2143.4199999999996,120,4984,120.0,61.67
run002,trike48,E154,E3,883.1200000000001,50,5237,50.0,22.06
run002,trike32,E106,E0,634.4699999999999,50,5453,50.0,12.63
run002,trike60,E196,E28,973.91,50,5380,50.0,79.03
run002,trike36,E97,E3,1073.3,70,5483,80.0,101.86
run002,trike39,E97,E28,2061.25,140.0,5347,2526.23,265.07
run002,trike38,E97,E0,1307.1299999999999,70,5580,70.0,190.58
run002,trike35,E97,E56,1767.81,150.0,5464,2073.37,218.77
run002,trike55,E154,E3,883.1200000000001,50,6012,100.0,51.07
run002,trike64,E196,E28,973.91,50,5986,50.0,32.23
run002,trike43,E74,E56,838.5799999999999,50,6064,50.0,48.91
run002,trike37,E97,E28,2061.25,120,5947,120.0,123.82
run002,trike42,E74,E56,838.5799999999999,50,6298,50.0,20.79
run002,trike47,E154,-E3,924.1600000000002,70.0,6279,1935.08,90.51
run002,trike61,E196,E3,2143.4199999999996,120,6197,120.0,95.43
run002,trike33,E106,E3,1814.4499999999998,100,6533,100.0,82.92
run002,trike39,E97,E3,1073.3,70,6670,90.0,98.09
run002,trike60,E196,E56,1516.28,100,6569,100.0,85.93
run002,trike14,E162,E28,1152.19,70,6944,120.0,158.26
run002,trike24,E41,E56,989.8399999999998,50,7035,100.0,62.16
run002,trike7,E23,E56,2328.2799999999997,120,6726,120.0,199.46
run002,trike41,E74,-E3,900.94,100.0,7368,2462.52,102.95
run002,trike10,E162,-E3,1375.6000000000001,70,7341,70.0,32.29
run002,trike38,E97,E56,1767.81,100,6989,100.0,31.94
run002,trike18,E57,E56,471.51,50,7169,100.0,53.25
run002,trike11,E162,E0,1305.6700000000003,120.0,7661,3197.72,197.62
run002,trike36,E97,E56,1767.81,100,7547,110.0,111.41
run002,trike23,E41,E28,2016.2099999999998,130.0,7590,2230.93,653.42
run002,trike15,E57,E56,471.51,50,7911,50.0,15.49
run002,trike30,E106,E56,2508.9599999999996,150,7614,150.0,281.83
run002,trike26,E41,E0,1163.06,70,8128,70.0,81.62
run002,trike13,E162,E0,1305.6700000000003,70,8151,70.0,98.46
run002,trike32,E106,E56,2508.9599999999996,150,8021,150.0,105.45
run002,trike2,E23,E28,464.25999999999993,50,8448,50.0,5.77
run002,trike16,E57,E0,2092.1200000000003,120,8189,120.0,366.83
run002,trike17,E57,-E3,1273.06,70,8300,70.0,113.99
run002,trike19,E57,E28,1938.6399999999999,150.0,8239,1677.45,259.98
run002,trike33,E106,E0,634.4699999999999,50,8760,50.0,6.14
run002,trike35,E97,-E3,1114.34,70,8723,120.0,87.77
run002,trike12,E162,E28,1152.19,70,8753,70.0,52.16
run002,trike64,E196,E28,973.91,50,8884,50.0,37.37
run002,trike37,E97,E0,1307.1299999999999,70,8873,70.0,221.11
run002,trike29,E41,E0,1163.06,70,8921,70.0,75.67
run002,trike28,E41,-E3,470.8,50,9034,50.0,17.59
run002,trike1,E23,E0,617.7399999999999,50,9079,50.0,57.93
run002,trike61,E196,E0,1127.39,70,8961,70.0,52.37
run002,trike60,E196,E28,973.91,50,9213,50.0,44.64
run002,trike21,E41,E56,989.8399999999998,50,9132,50.0,91.46
run002,trike20,E41,-E3,470.8,50,9304,50.0,8.48
run002,trike30,E106,E28,2802.4,150,9090,150.0,186.19
run002,trike43,E74,E56,838.5799999999999,50,9549,50.0,73.54
run002,trike40,E74,E28,1860.2799999999995,100,9476,120.0,153.1
run002,trike42,E74,E56,838.5799999999999,50,9774,50.0,20.49
run002,trike4,E23,E56,2328.2799999999997,120,9737,120.0,110.71
run002,trike39,E97,E3,1073.3,90.0,10056,2476.23,112.89
run002,trike41,E74,E0,1928.1699999999996,150.0,10061,2512.52,362.41
run002,trike64,E196,E0,1127.39,70,10165,70.0,39.54
run002,trike8,E23,E0,617.7399999999999,50,10699,70.0,58.19
run002,trike9,E23,E0,617.7399999999999,50,10758,50.0,107.76
run002,trike61,E196,E0,1127.39,70,10975,70.0,17.14
run002,trike14,E162,E3,1334.5600000000002,120.0,11005,2224.61,236.91
run002,trike38,E97,E0,1307.1299999999999,70,11092,70.0,75.08
run002,trike60,E196,E28,973.91,50,11140,50.0,27.45
run002,trike10,E162,E56,1082.3,70,11217,70.0,146.8
run002,trike5,E23,E0,617.7399999999999,50,11659,100.0,71.38
run002,trike43,E74,E0,1928.1699999999996,100,11617,100.0,120.24
run002,trike37,E97,E3,1073.3,70,11924,70.0,73.79
run002,trike36,E97,E56,1767.81,100,11783,110.0,283.57
run002,trike24,E41,E3,429.76,50,12156,100.0,72.18
run002,trike34,E106,-E3,1855.4899999999998,120.0,12078,2854.8,181.16
run002,trike27,E41,E56,989.8399999999998,50,12352,100.0,75.65
run002,trike33,E106,-E3,1855.4899999999998,100,12595,100.0,51.99
run002,trike40,E74,E56,838.5799999999999,50,13158,70.0,65.49
run002,trike35,E97,E28,2061.25,120,13065,170.0,187.31
run002,trike31,E106,E0,634.4699999999999,50,13624,50.0,18.37
run002,trike32,E106,E56,2508.9599999999996,150,13251,150.0,26.02
run002,trike30,E106,E3,1814.4499999999998,100,13447,100.0,217.12
run002,trike39,E97,E56,1767.81,120.0,13350,2506.23,143.77
run002,trike38,E97,-E3,1114.34,70,13705,70.0,22.1
run002,trike42,E74,-E3,900.94,50,13732,50.0,55.55
run002,trike53,E154,E0,1699.0499999999997,150.0,13674,972.62,326.07
run002,trike0,E23,-E3,1674.81,150.0,13780,2691.1,151.59
run002,trike23,E41,E28,2016.2099999999998,120,13821,130.0,154.72
run002,trike26,E41,E56,989.8399999999998,50,14165,50.0,125.93
run002,trike37,E97,-E3,1114.34,70,14231,70.0,34.43
run002,trike64,E196,E28,973.91,50,14300,50.0,36.99
run002,trike6,E23,E3,1633.77,100,14478,100.0,38.98
run002,trike29,E41,E0,1163.06,70,14717,70.0,80.13
run002,trike34,E106,-E3,1855.4899999999998,120.0,14660,2854.8,331.31
run002,trike62,E196,E28,973.91,50,14807,50.0,18.82
run002,trike36,E97,E56,1767.81,110.0,14629,1214.1,259.52
run002,trike7,E23,E56,2328.2799999999997,120,14643,120.0,148.87
run002,trike50,E154,-E3,924.1600000000002,50,15068,50.0,31.45
run002,trike2,E23,E56,2328.2799999999997,120,14970,120.0,39.21
run002,trike49,E154,E0,1699.0499999999997,100,15957,100.0,238.46
run002,trike52,E154,E3,883.1200000000001,50,16218,50.0,34.31
run002,trike11,E162,E0,1305.6700000000003,120.0,16191,3197.72,143.05
run002,trike13,E162,E3,1334.5600000000002,70,16264,70.0,90.02
run002,trike33,E106,E3,1814.4499999999998,100,16182,100.0,103.62
run002,trike1,E23,E28,464.25999999999993,50,16856,50.0,23.28
run002,trike12,E162,E3,1334.5600000000002,70,16719,70.0,17.8
run002,trike58,E154,E0,1699.0499999999997,150.0,16637,2260.98,292.65
run002,trike61,E196,E0,1127.39,70,16943,70.0,47.31
run002,trike41,E74,E0,1928.1699999999996,150.0,17070,2512.52,261.37
run002,trike28,E41,E0,1163.06,70,17287,70.0,35.9
run002,trike44,E74,E3,859.9,50,17312,50.0,26.79
run002,trike21,E41,-E3,470.8,50,17483,50.0,36.39
run002,trike4,E23,E0,617.7399999999999,50,17437,50.0,68.93
run002,trike60,E196,E0,1127.39,70,17513,70.0,145.34
run002,trike14,E162,E28,1152.19,120.0,17579,2224.61,214.99
run002,trike30,E106,E0,634.4699999999999,50,17888,50.0,20.72
run002,trike8,E23,E28,464.25999999999993,50,17895,70.0,85.36
run002,trike63,E196,-E3,2184.4599999999996,120,17639,120.0,202.0
run002,trike43,E74,E3,859.9,50,18123,50.0,22.74
run002,trike31,E106,E28,2802.4,150,17882,150.0,45.65
run002,trike54,E154,E3,883.1200000000001,50,18285,50.0,23.74
run002,trike64,E196,E56,1516.28,100,18126,100.0,21.67
run002,trike10,E162,-E3,1375.6000000000001,70,18483,70.0,59.23
run002,trike32,E106,E0,634.4699999999999,50,18689,50.0,11.15
run002,trike20,E41,E3,429.76,50,18771,50.0,55.1
run002,trike57,E154,E0,1699.0499999999997,100,19011,100.0,102.79
run002,trike34,E106,-E3,1855.4899999999998,120.0,19055,2854.8,160.83
run002,trike33,E106,E3,1814.4499999999998,100,19560,100.0,103.77
run002,trike35,E97,E28,2061.25,120,19586,170.0,197.57
run002,trike24,E41,E56,989.8399999999998,50,19863,100.0,88.56
run002,trike39,E97,E0,1307.1299999999999,90.0,19962,2476.23,128.23
run002,trike25,E41,-E3,470.8,50,20139,50.0,71.59
run002,trike27,E41,E28,2016.2099999999998,170.0,19987,2138.27,222.4
run002,trike31,E106,E0,634.4699999999999,50,20463,50.0,45.51
run002,trike30,E106,E56,2508.9599999999996,150,20256,150.0,212.01
run002,trike62,E196,E56,1516.28,100,20452,100.0,74.06
run002,trike51,E154,-E3,924.1600000000002,50,20710,50.0,7.44
run002,trike9,E23,-E3,1674.81,100,20703,100.0,96.6
run002,trike13,E162,E28,1152.19,70,21031,70.0,16.76
run002,trike26,E41,E0,1163.06,70,21307,70.0,192.78
run002,trike11,E162,E0,1305.6700000000003,70,20970,120.0,158.57
run002,trike3,E23,-E3,1674.81,100,21338,100.0,21.39
run002,trike45,E154,E28,1486.3799999999999,70,21355,120.0,141.86
run002,trike32,E106,E28,2802.4,150,21238,150.0,154.78
run002,trike61,E196,E56,1516.28,100,21404,100.0,22.32
run002,trike23,E41,E56,989.8399999999998,50,21802,60.0,99.3
run002,trike12,E162,E3,1334.5600000000002,70,21828,70.0,33.94
run002,trike38,E97,E0,1307.1299999999999,70,22335,70.0,108.77
run002,trike29,E41,E3,429.76,50,22827,50.0,54.64
run002,trike21,E41,E3,429.76,50,23135,50.0,91.3
run002,trike34,E106,E3,1814.4499999999998,120.0,23229,2854.8,211.82
run002,trike37,E97,E3,1073.3,70,23442,70.0,55.54
run002,trike60,E196,E56,1516.28,100,23926,100.0,112.74
run002,trike28,E41,E28,2016.2099999999998,120,24050,120.0,110.29
run002,trike46,E154,-E3,924.1600000000002,50,24669,100.0,89.44
run002,trike63,E196,E28,973.91,50,24852,50.0,175.6
run002,trike33,E106,E3,1814.4499999999998,100,25578,100.0,15.37
run002,trike48,E154,E3,883.1200000000001,50,25885,50.0,33.53
run002,trike31,E106,E28,2802.4,150,25901,150.0,78.8
run002,trike64,E196,E0,1127.39,70,26473,70.0,72.33
run002,trike36,E97,E3,1073.3,70,26521,80.0,73.06
run002,trike40,E74,E28,1860.2799999999995,120.0,26536,1475.72,133.15
run002,trike62,E196,E0,1127.39,70,26780,70.0,66.81
run002,trike35,E97,E28,2061.25,170.0,26963,2093.37,251.31
run002,trike61,E196,E56,1516.28,100,27326,100.0,54.33
run002,trike60,E196,E0,1127.39,70,27347,70.0,151.68
run002,trike30,E106,E3,1814.4499999999998,100,27626,100.0,90.78
run002,trike63,E196,E3,2143.4199999999996,120,27543,120.0,47.31
run002,trike32,E106,E0,634.4699999999999,50,28659,50.0,14.09
run002,trike34,E106,E3,1814.4499999999998,120.0,28660,2854.8,231.03
run002,trike55,E154,E0,1699.0499999999997,100,28764,150.0,314.04
run002,trike14,E162,E56,1082.3,70,29249,120.0,107.39
run002,trike42,E74,-E3,900.94,50,29670,50.0,81.56
run002,trike10,E162,E3,1334.5600000000002,70,30255,70.0,31.48
run002,trike20,E41,E0,1163.06,70,30418,70.0,82.84
run002,trike22,E41,E28,2016.2099999999998,140.0,30409,1113.04,148.1
run002,trike44,E74,E0,1928.1699999999996,100,30567,100.0,38.43
run002,trike41,E74,E3,859.9,50,30839,100.0,73.94
run002,trike13,E162,E0,1305.6700000000003,70,31045,70.0,22.46
run002,trike43,E74,E56,838.5799999999999,50,31570,50.0,72.25
run002,trike64,E196,E0,1127.39,70,32252,70.0,19.61
run002,trike40,E74,E0,1928.1699999999996,100,32901,120.0,411.78
run002,trike62,E196,E56,1516.28,100,33633,100.0,38.8
run002,trike47,E154,E28,1486.3799999999999,90.0,34401,1955.08,113.62
run002,trike33,E106,E3,1814.4499999999998,100,34812,100.0,131.93
run002,trike39,E97,E56,1767.81,120.0,35202,2506.23,384.37
run002,trike56,E154,E0,1699.0499999999997,120.0,35395,1053.81,137.96
run002,trike38,E97,-E3,1114.34,70,37363,70.0,58.69
run002,trike37,E97,E3,1073.3,70,37987,70.0,24.95
